"2014.6",,http://itjuzi.com/investfirm/8,淘当铺,电子商务,b,3000万美元,蓝驰创投
"2014.5",,http://itjuzi.com/investfirm/8,乐动力/北京朗动科技,移动互联网,a,数百万美元,蓝驰创投
"2014.7",,http://itjuzi.com/investfirm/7,FitTime睿健时代,消费生活,a,数百万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,CN海淘网/蜜淘网/背篓科技,电子商务,a,500万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,猿题库,教育培训,c,1500万美元,经纬中国
"2014.7","张颖,王华东",http://itjuzi.com/investfirm/7,nice品牌滤镜,移动互联网,b,2000万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,MaxStone/美讯美通,电子硬件,a,数百万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,辣妈帮/辣妈微生活,移动互联网,b,2000万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,91金融超市,金融服务,b,未透露人民币,经纬中国
"2014.6",,http://itjuzi.com/investfirm/7,蛋定/甜派网络,消费生活,a,数百万美元,经纬中国
"2014.6",,http://itjuzi.com/investfirm/7,简图APP,移动互联网,angel,数百万人民币,经纬中国
"2014.6",,http://itjuzi.com/investfirm/7,桔子理财,金融服务,a,数百万美元,经纬中国
"2014.3",,http://itjuzi.com/investfirm/8,极客学院,教育培训,a,数百万美元,蓝驰创投
"2014.2",,http://itjuzi.com/investfirm/8,着迷网/乐享方登网络,游戏动漫,b,13000万人民币,蓝驰创投
"2014.1","潘翔,张矩",http://itjuzi.com/investfirm/8,青云QingCloud,企业服务,b,2000万美元,蓝驰创投
"2013.12",,http://itjuzi.com/investfirm/8,echo回声/启维文化,移动互联网,angel,数百万人民币,蓝驰创投
"2013.12",,http://itjuzi.com/investfirm/8,启维文化,SNS社交网络,angel,数百万人民币,蓝驰创投
"2013.12",,http://itjuzi.com/investfirm/8,钛金骑士/行尸走肉,游戏动漫,a,数百万美元,蓝驰创投
"2013.9",,http://itjuzi.com/investfirm/8,淘当铺,电子商务,a,数百万美元,蓝驰创投
"2014.6",,http://itjuzi.com/investfirm/7,分期乐,金融服务,angel,1000万人民币,经纬中国
"2014.6",,http://itjuzi.com/investfirm/7,笨鸟海淘,电子商务,angel,数百万人民币,经纬中国
"2014.6",,http://itjuzi.com/investfirm/7,西柚经期助手/美柚女生助手,医疗健康,c,3500万美元,经纬中国
